"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:Exp04.CR1","12615","Calibracao"
"TIMESTAMP","RECORD","massa","t"
"TS","RN","",""
"","","Smp","Smp"
"2025-07-23 10:06:07",148,747.5,17
"2025-07-23 10:06:25",149,754.9,18
"2025-07-23 10:06:42",150,762.4,17
"2025-07-23 10:06:59",151,769.7,17
"2025-07-23 10:07:01",152,770.7,2
"2025-07-23 10:07:18",153,778,17
"2025-07-23 10:07:36",154,785.7,18
"2025-07-23 10:07:53",155,793.1,17
"2025-07-23 10:08:10",156,800.8,17
"2025-07-23 10:08:13",157,802.1,3
"2025-07-23 10:08:30",158,808.9,17
"2025-07-23 10:08:47",159,816.7,17
"2025-07-23 10:09:04",160,824.1,17
"2025-07-23 10:09:19",161,830.6,15
"2025-07-23 10:09:33",162,836.9,14
"2025-07-23 10:09:49",163,843.8,16
"2025-07-23 10:09:51",164,844.8,2
"2025-07-23 10:10:06",165,851.3,15
"2025-07-23 10:10:23",166,858.4,17
"2025-07-23 10:10:38",167,865,15
"2025-07-23 10:10:55",168,872.4,17
"2025-07-23 10:11:12",169,880.2,17
"2025-07-23 10:11:14",170,881.3,2
"2025-07-23 10:11:31",171,888.6,17
"2025-07-23 10:11:48",172,895.6,17
"2025-07-23 10:12:05",173,903.1,17
"2025-07-23 10:12:22",174,910.6,17
"2025-07-23 10:12:25",175,912.1,3
"2025-07-23 10:12:42",176,919.3,17
"2025-07-23 10:12:57",177,925.9,15
"2025-07-23 10:13:11",178,931.8,14
"2025-07-23 10:13:28",179,939.6,17
"2025-07-23 10:13:43",180,945.9,15
"2025-07-23 10:13:57",181,951.9,14
"2025-07-23 10:14:14",182,959.7,17
"2025-07-23 10:14:31",183,967.1,17
"2025-07-23 10:14:33",184,968.1,2
"2025-07-23 10:14:50",185,975.3,17
"2025-07-23 10:15:07",186,982.5,17
"2025-07-23 10:15:24",187,989.9,17
"2025-07-23 10:15:27",188,991.1,3
"2025-07-23 10:15:43",189,998.1,16
"2025-07-23 10:16:00",190,1005.8,17
"2025-07-23 10:16:17",191,1013.4,17
"2025-07-23 10:16:34",192,1020.4,17
"2025-07-23 10:16:36",193,1021.6,2
"2025-07-23 10:16:53",194,833.1,17
"2025-07-23 10:17:19",195,801.4,26
"2025-07-23 10:17:31",196,796.1,12
"2025-07-23 10:17:47",197,789.4,16
"2025-07-23 10:18:00",198,783.4,13
"2025-07-23 10:18:13",199,777.8,13
"2025-07-23 10:18:26",200,772.1,13
"2025-07-23 10:18:37",201,767.2,11
"2025-07-23 10:18:50",202,761.3,13
"2025-07-23 10:19:01",203,756.9,11
"2025-07-23 10:19:13",204,751.6,12
"2025-07-23 10:19:24",205,746.7,11
"2025-07-23 10:19:36",206,741.6,12
"2025-07-23 10:19:48",207,736.5,12
"2025-07-23 10:20:00",208,731.2,12
"2025-07-23 10:20:11",209,726,11
"2025-07-23 10:20:31",210,1607.5,20
"2025-07-23 10:23:31",211,1153.6,180
"2025-07-23 10:23:34",212,1159.4,3
"2025-07-23 10:23:41",213,1165.2,7
"2025-07-23 10:23:50",214,1170.8,9
"2025-07-23 10:24:00",215,1176.5,10
"2025-07-23 10:24:11",216,1182.7,11
"2025-07-23 10:24:21",217,1187.8,10
"2025-07-23 10:24:31",218,1193.4,10
"2025-07-23 10:24:41",219,1199,10
"2025-07-23 10:24:51",220,1204.2,10
"2025-07-23 10:25:01",221,1210,10
"2025-07-23 10:25:11",222,1215.5,10
"2025-07-23 10:25:21",223,1221.1,10
"2025-07-23 10:25:31",224,1226.7,10
"2025-07-23 10:25:41",225,1232.3,10
"2025-07-23 10:25:52",226,1238.8,11
"2025-07-23 10:26:01",227,1243.2,9
"2025-07-23 10:26:12",228,1249.7,11
"2025-07-23 10:26:21",229,1254.4,9
"2025-07-23 10:26:32",230,1260.9,11
"2025-07-23 10:26:42",231,1266.4,10
"2025-07-23 10:26:52",232,1271.5,10
"2025-07-23 10:27:02",233,1277.3,10
"2025-07-23 10:27:12",234,1282.8,10
"2025-07-23 10:27:22",235,1288.3,10
"2025-07-23 10:27:33",236,1294.3,11
"2025-07-23 10:27:43",237,1300,10
"2025-07-23 10:27:53",238,1305.5,10
"2025-07-23 10:28:03",239,1310.8,10
"2025-07-23 10:28:14",240,1317.2,11
"2025-07-23 10:28:24",241,1322.7,10
"2025-07-23 10:28:34",242,1328.3,10
"2025-07-23 10:28:44",243,1333.4,10
"2025-07-23 10:28:55",244,1339.8,11
"2025-07-23 10:29:04",245,1344.7,9
"2025-07-23 10:29:15",246,1351.1,11
"2025-07-23 10:29:25",247,1356.6,10
"2025-07-23 10:29:35",248,1362.2,10
"2025-07-23 10:29:45",249,1367.5,10
"2025-07-23 10:29:55",250,1373,10
"2025-07-23 10:30:05",251,1378.3,10
"2025-07-23 10:30:15",252,1383.8,10
"2025-07-23 10:30:25",253,1389.1,10
"2025-07-23 10:30:35",254,1394.5,10
"2025-07-23 10:30:45",255,1400.2,10
"2025-07-23 10:30:55",256,1405.8,10
"2025-07-23 10:31:05",257,1411.4,10
"2025-07-23 10:31:15",258,1417.1,10
"2025-07-23 10:31:26",259,1423.2,11
"2025-07-23 10:31:36",260,1428.5,10
"2025-07-23 10:31:46",261,1434,10
"2025-07-23 10:31:56",262,1439.7,10
