"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:exp04.CR1","29201","exp04"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","t_agua_Avg","t_terra_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2025-03-26 10:53:00",96,12.85,24.78,26.36,26.75
"2025-03-26 10:54:00",97,12.85,24.78,26.26,26.66
"2025-03-26 10:55:00",98,12.85,24.78,26.25,26.64
"2025-03-26 10:56:00",99,12.85,24.78,26.18,26.57
"2025-03-26 10:57:00",100,12.85,24.75,26.11,26.5
"2025-03-26 10:58:00",101,12.85,24.75,26.02,26.42
"2025-03-26 10:59:00",102,12.85,24.78,25.95,26.37
"2025-03-26 11:00:00",103,12.85,24.78,25.95,26.4
"2025-03-26 11:01:00",104,12.85,24.78,25.84,26.28
"2025-03-26 11:02:00",105,12.85,24.78,25.79,26.22
"2025-03-26 11:03:00",106,12.85,24.78,25.72,26.15
"2025-03-26 11:04:00",107,12.85,24.78,25.7,26.17
"2025-03-26 11:05:00",108,12.85,24.75,25.65,26.15
"2025-03-26 11:06:00",109,12.85,24.75,25.55,26.05
"2025-03-26 11:07:00",110,12.85,24.75,25.52,26
"2025-03-26 11:08:00",111,12.85,24.75,25.46,25.96
"2025-03-26 11:09:00",112,12.85,24.75,25.41,25.97
"2025-03-26 11:10:00",113,12.85,24.75,25.39,25.94
"2025-03-26 11:11:00",114,12.85,24.75,25.33,25.88
"2025-03-26 11:12:00",115,12.85,24.75,25.28,25.85
"2025-03-26 11:13:00",116,12.85,24.75,25.25,25.83
"2025-03-26 11:14:00",117,12.85,24.75,25.2,25.8
"2025-03-26 11:15:00",118,12.85,24.75,25.13,25.75
"2025-03-26 11:16:00",119,12.85,24.75,25.11,25.73
"2025-03-26 11:17:00",120,12.85,24.75,25.11,25.71
