"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:14:22.72",53,53,0.199707,4.619997,6575.8,319.4807,44.95283,266.3611
"2023-06-14 10:14:27.42",54,54,2.200195,4.699996,6582.5,314.0428,495.2505,268.2369
"2023-06-14 10:14:32.66",55,55,0.5,5.219996,6587.6,282.7589,112.5469,264.4853
"2023-06-14 10:14:37.24",56,56,1.699707,4.579997,6594.4,322.271,382.5936,268.6124
"2023-06-14 10:14:42.08",57,57,1.400391,4.839996,6599.2,304.9589,315.2194,260.36
"2023-06-14 10:14:47",58,58,0.8999023,4.919996,6604.6,300.0002,202.5625,263.3606
"2023-06-14 10:14:53.02",59,59,0.699707,6.019995,6613.4,245.1829,157.4998,268.6124
"2023-06-14 10:14:58.4",60,60,1.100098,5.379996,6619.5,274.3497,247.6252,267.4858
"2023-06-14 10:15:04.1",61,61,1.399902,5.699996,6626.3,258.9476,315.1095,265.61
"2023-06-14 10:15:07.12",62,62,0.9003906,3.019998,6629.7,488.7421,202.6724,266.7366
"2023-06-14 10:15:12.64",63,63,2,5.519996,6636,267.3915,450.1877,269.7371
"2023-06-14 10:15:17.1",64,64,0.3999023,4.459997,6641.5,330.942,90.01556,265.9855
"2023-06-14 10:15:21.88",65,65,0.5,4.759996,6645.9,310.0843,112.5469,263.7343
"2023-06-14 10:15:26.52",66,66,2,4.639997,6653.2,318.1037,450.1877,273.4905
"2023-06-14 10:15:31.38",67,67,0.7001953,4.859996,6657.7,303.7039,157.6097,264.8608
"2023-06-14 10:15:36.2",68,68,1.600098,4.819996,6665,306.2243,360.1722,271.2374
"2023-06-14 10:15:41.04",69,69,0.8999023,4.819996,6670.4,306.2243,202.5625,272.364
"2023-06-14 10:15:45.78",70,70,0.5996094,4.739996,6676.3,311.3926,134.9684,272.3621
"2023-06-14 10:15:50.56",71,71,1.699707,4.779996,6681.9,308.7868,382.5936,271.2374
"2023-06-14 10:15:55.26",72,72,0.4003906,4.699996,6687.7,314.0428,90.12548,268.6124
"2023-06-14 10:15:59.96",73,73,0.4003906,4.699996,6692.2,314.0428,90.12548,266.7366
"2023-06-14 10:16:04.68",74,74,2.399902,4.719996,6699.3,312.7121,540.2033,273.8642
"2023-06-14 10:16:09.88",75,75,0.699707,5.179996,6703.8,284.9423,157.4998,269.3616
"2023-06-14 10:16:14.58",76,76,2,4.699996,6711,314.0428,450.1877,273.8642
"2023-06-14 10:16:21.94",77,77,0.2998047,7.359994,6718.8,200.5436,67.4842,273.4887
"2023-06-14 10:16:27.28",78,78,0.5,5.339996,6726,276.4047,112.5469,271.2374
"2023-06-14 10:16:30.1",79,79,1,2.819998,6729.2,523.4046,225.0939,270.8637
"2023-06-14 10:16:34.52",80,80,1.699707,4.419997,6734.3,333.9369,382.5936,268.9861
"2023-06-14 10:16:39.3",81,81,0.7001953,4.779996,6739.7,308.7868,157.6097,267.8632
"2023-06-14 10:16:44.06",82,82,1,4.739996,6747.3,311.3926,225.0939,268.6105
"2023-06-14 10:16:49.58",83,83,0.800293,5.519996,6753.1,267.3915,180.1411,273.4887
"2023-06-14 10:16:54.06",84,84,1,4.479997,6759.3,329.4645,225.0939,270.1126
"2023-06-14 10:16:59.16",85,85,1.299805,5.099996,6765.5,289.412,292.5781,274.9889
