"TOA5","experimento","CR1000","63522","CR1000.Std.32.03","CPU:albedo.CR1","7723","exp02"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","radiacao_incidente_Avg","radiacao_refletida_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2024-11-13 09:37:00",96,12.86,28.99,"NAN","NAN"
"2024-11-13 09:38:00",97,12.86,28.82,"NAN","NAN"
"2024-11-13 09:39:00",98,12.86,28.66,"NAN","NAN"
"2024-11-13 09:40:00",99,12.86,28.53,"NAN","NAN"
"2024-11-13 09:41:00",100,12.85,28.4,"NAN","NAN"
"2024-11-13 09:42:00",101,12.85,28.27,"NAN","NAN"
"2024-11-13 09:43:00",102,12.85,28.14,"NAN","NAN"
"2024-11-13 09:44:00",103,12.85,28.04,"NAN","NAN"
"2024-11-13 09:45:00",104,12.85,27.91,"NAN","NAN"
"2024-11-13 09:46:00",105,12.85,27.82,"NAN","NAN"
"2024-11-13 09:47:00",106,12.85,27.72,"NAN","NAN"
"2024-11-13 09:48:00",107,12.85,27.59,"NAN","NAN"
"2024-11-13 09:49:00",108,12.85,27.53,"NAN","NAN"
"2024-11-13 09:50:00",109,12.85,27.44,"NAN","NAN"
"2024-11-13 09:51:00",110,12.85,27.34,"NAN","NAN"
"2024-11-13 09:52:00",111,12.85,27.25,"NAN","NAN"
"2024-11-13 09:53:00",112,12.85,27.18,"NAN","NAN"
"2024-11-13 09:54:00",113,12.85,27.09,"NAN","NAN"
