"TOA5","CalibraPluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","64429","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-02-10 15:47:45.48",43,43,0.2998047,10.66005,3569.9,138.4608,67.4842,111.7959
"2022-02-10 15:48:03.94",44,44,0.4001465,18.46023,3578.8,79.95566,90.07053,111.4213
"2022-02-10 15:48:14.42",45,45,0.6000977,10.48005,3584,140.839,135.0783,110.6712
"2022-02-10 15:48:28.12",46,46,0.5,13.70012,3591.2,107.7363,112.5469,111.0458
"2022-02-10 15:48:38.3",47,47,0.1999512,10.18004,3595.9,144.9896,45.00778,109.9201
"2022-02-10 15:48:55.66",48,48,0.6999512,17.36021,3604.8,85.02203,157.5547,111.7968
"2022-02-10 15:49:06.12",49,49,0.3000488,10.46005,3610.1,141.1083,67.53915,113.298
"2022-02-10 15:49:24.38",50,50,0.1999512,18.26023,3618.9,80.83141,45.00778,111.0458
"2022-02-10 15:49:35.08",51,51,0.6000977,10.68005,3624.3,138.2015,135.0783,110.2965
"2022-02-10 15:49:48.54",52,52,0.8000488,13.46012,3631.2,109.6573,180.0861,112.5469
"2022-02-10 15:49:59.34",53,53,0.2001953,10.80006,3636.1,136.6659,45.06274,109.921
"2022-02-10 15:50:12.58",54,54,0.7001953,13.24011,3643.1,111.4794,157.6097,113.298
"2022-02-10 15:50:23.14",55,55,0.2998047,10.56005,3647.9,139.772,67.4842,109.5455
"2022-02-10 15:50:41.18",56,56,0.2001953,18.04022,3657.1,81.81718,45.06274,111.7968
"2022-02-10 15:50:51.38",57,57,0.3000488,10.20004,3662,144.7053,67.53915,111.0467
"2022-02-10 15:51:10.04",58,58,0.6000977,18.66024,3671.8,79.09868,135.0783,111.4213
"2022-02-10 15:51:20.6",59,59,0.1999512,10.56005,3676.2,139.772,45.00778,110.6712
"2022-02-10 15:51:38.84",60,60,0.5998535,18.24023,3685.7,80.92004,135.0234,111.7968
"2022-02-10 15:51:49.48",61,61,0.2998047,10.64005,3690.9,138.7211,67.4842,111.7959
"2022-02-10 15:52:03.2",62,62,0.5,13.72012,3697.9,107.5792,112.5469,111.7959
"2022-02-10 15:52:13.98",63,63,0.5,10.78006,3702.9,136.9195,112.5469,111.7959
"2022-02-10 15:52:31.9",64,64,0.8000488,17.92022,3711.7,82.36507,180.0861,111.4213
"2022-02-10 15:52:42.72",65,65,0.1000977,10.82006,3716.8,136.4133,22.53137,109.5455
"2022-02-10 15:53:00.98",66,66,0.3999023,18.26023,3725.9,80.83141,90.01556,111.0458
"2022-02-10 15:53:11.66",67,67,0.1999512,10.68005,3731.3,138.2015,45.00778,110.6712
"2022-02-10 15:53:25.34",68,68,0.6000977,13.68012,3738.6,107.8938,135.0783,111.7968
"2022-02-10 15:53:36.34",69,69,0.3999023,11.00006,3743.7,134.1811,90.01556,111.7968
"2022-02-10 15:53:53.9",70,70,0.6999512,17.56021,3752.3,84.05366,157.5547,111.0467
"2022-02-10 15:54:04.44",71,71,0.1999512,10.54005,3757.5,140.0373,45.00778,110.2956
"2022-02-10 15:54:20.66",72,72,0.3999023,16.22018,3765.4,90.99776,90.01556,111.0458
"2022-02-10 15:54:31.28",73,73,0.5,10.62005,3771.1,138.9824,112.5469,111.4222
"2022-02-10 15:54:49.74",74,74,0.3999023,18.44023,3779.9,80.04238,90.01556,111.0458
"2022-02-10 15:55:00.06",75,75,0.5,10.32005,3785.3,143.0226,112.5469,111.4213
"2022-02-10 15:55:15.66",76,76,1.099854,15.60017,3792.9,94.61437,247.5703,111.7959
"2022-02-10 15:55:26.14",77,77,0.1999512,10.48005,3798,140.839,45.00778,110.6712
"2022-02-10 15:55:42.38",78,78,0.1999512,16.24018,3805.7,90.88569,45.00778,109.921
"2022-02-10 15:55:52.8",79,79,0.3000488,10.42005,3811,141.65,67.53915,111.7968
"2022-02-10 15:56:10.92",80,80,0.5,18.12022,3820.4,81.45595,112.5469,114.4227
"2022-02-10 15:56:21.5",81,81,0.1000977,10.58005,3825.6,139.5078,22.53137,111.4222
"2022-02-10 15:56:38.68",82,82,0.6000977,17.1802,3834.3,85.91284,135.0783,114.7982
"2022-02-10 15:56:49.12",83,83,0.5,10.44005,3839.9,141.3786,112.5469,113.2971
"2022-02-10 15:57:05.22",84,84,0.3000488,16.10018,3847.7,91.67601,67.53915,115.1728
"2022-02-10 15:57:15.96",85,85,0.6999512,10.74006,3852.9,137.4294,157.5547,113.6717
"2022-02-10 15:57:32.54",86,86,0.2001953,16.58019,3861.1,89.0219,45.06274,110.6712
"2022-02-10 15:57:42.86",87,87,0.4001465,10.32005,3866.1,143.0226,90.07053,111.4222
"2022-02-10 15:57:59.46",88,88,0.3999023,16.60019,3874.5,88.91465,90.01556,111.7968
"2022-02-10 15:58:09.94",89,89,0.3999023,10.48005,3879.4,140.839,90.01556,111.4213
"2022-02-10 15:58:27.28",90,90,1,17.34021,3888.5,85.12009,225.0939,111.7968
"2022-02-10 15:58:38.02",91,91,0.1000977,10.74006,3893.6,137.4294,22.53137,110.2965
"2022-02-10 15:58:53.54",92,92,0.6999512,15.52017,3901.4,95.10208,157.5547,111.4213
"2022-02-10 15:59:04.24",93,93,0.09985352,10.70006,3906.7,137.9432,22.47641,111.0458
"2022-02-10 15:59:22.5",94,94,0.3000488,18.26023,3915.7,80.83141,67.53915,112.9215
"2022-02-10 15:59:33.22",95,95,0.5,10.72006,3921.2,137.6859,112.5469,111.0458
"2022-02-10 15:59:50.5",96,96,0.6999512,17.2802,3929.9,85.41566,157.5547,113.6717
"2022-02-10 16:00:00.86",97,97,0.8000488,10.36005,3934.8,142.4704,180.0861,112.9225
"2022-02-10 16:00:17.58",98,98,0.1999512,16.72019,3942.9,88.2765,45.00778,111.0458
"2022-02-10 16:00:28.22",99,99,0.6000977,10.64005,3948.8,138.7211,135.0783,112.9225
"2022-02-10 16:00:42.38",100,100,0.1000977,14.16013,3955.3,104.2363,22.53137,109.921
"2022-02-10 16:00:53.08",101,101,0.6000977,10.70006,3961,137.9432,135.0783,111.7968
"2022-02-10 16:01:11.08",102,102,0.2001953,18.00022,3969.6,81.99899,45.06274,111.0467
"2022-02-10 16:01:21.92",103,103,0.1999512,10.84006,3974.7,136.1616,45.00778,110.6712
"2022-02-10 16:01:35.32",104,104,0.6999512,13.40012,3982,110.1483,157.5547,111.4213
"2022-02-10 16:01:46",105,105,0.6999512,10.68005,3986.8,138.2015,157.5547,111.0467
"2022-02-10 16:02:02.64",106,106,0.1999512,16.64019,3994.9,88.70091,45.00778,111.0458
"2022-02-10 16:02:13.66",107,107,0.3999023,11.02006,4000.5,133.9375,90.01556,112.9225
"2022-02-10 16:02:30.12",108,108,0.6000977,16.46019,4009,89.67092,135.0783,112.1714
"2022-02-10 16:02:41.04",109,109,0,10.92006,4014,135.1641,0,109.1709
"2022-02-10 16:02:58.04",110,110,0.7998047,17.0002,4022.9,86.82252,180.0311,113.2971
"2022-02-10 16:03:08.76",111,111,0.6999512,10.72006,4027.8,137.6859,157.5547,111.0467
"2022-02-10 16:03:23.02",112,112,0.09985352,14.26014,4034.9,103.5053,22.47641,110.2956
"2022-02-10 16:03:33.56",113,113,0.1000977,10.54005,4039.8,140.0373,22.53137,110.2965
"2022-02-10 16:03:48.84",114,114,0.3999023,15.28016,4047.4,96.59585,90.01556,110.2956
