"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:Exp04.CR1","12615","Calibracao"
"TIMESTAMP","RECORD","massa","t"
"TS","RN","",""
"","","Smp","Smp"
"2025-07-23 10:32:06",263,1445.4,10
"2025-07-23 10:32:17",264,1451.3,11
"2025-07-23 10:32:27",265,1456.8,10
"2025-07-23 10:32:37",266,1462.2,10
"2025-07-23 10:32:47",267,1467.8,10
"2025-07-23 10:32:57",268,1473.3,10
"2025-07-23 10:33:07",269,1478.8,10
"2025-07-23 10:33:18",270,1485.1,11
"2025-07-23 10:33:27",271,1489.7,9
"2025-07-23 10:33:38",272,1496.2,11
"2025-07-23 10:33:48",273,1501.7,10
"2025-07-23 10:33:58",274,1507.1,10
"2025-07-23 10:34:08",275,1512.5,10
"2025-07-23 10:34:19",276,1518.4,11
"2025-07-23 10:34:29",277,1523.9,10
"2025-07-23 10:34:39",278,1529.4,10
"2025-07-23 10:34:49",279,1534.9,10
"2025-07-23 10:35:00",280,1541,11
"2025-07-23 10:35:10",281,1546.3,10
"2025-07-23 10:35:20",282,1551.7,10
"2025-07-23 10:35:30",283,1557.1,10
"2025-07-23 10:35:41",284,1563.5,11
"2025-07-23 10:35:51",285,1568.7,10
"2025-07-23 10:36:02",286,1575.2,11
"2025-07-23 10:36:12",287,1580.9,10
"2025-07-23 10:36:22",288,1586.2,10
"2025-07-23 10:36:32",289,1591.4,10
"2025-07-23 10:36:43",290,1597.4,11
"2025-07-23 10:36:53",291,1603.2,10
"2025-07-23 10:37:03",292,1608.6,10
"2025-07-23 10:37:14",293,1614.8,11
"2025-07-23 10:37:24",294,1620.2,10
"2025-07-23 10:37:34",295,1625.6,10
"2025-07-23 10:37:45",296,1631.6,11
"2025-07-23 10:37:55",297,1637,10
"2025-07-23 10:38:05",298,1642.7,10
"2025-07-23 10:38:15",299,1647.9,10
"2025-07-23 10:38:26",300,1654.4,11
"2025-07-23 10:38:36",301,1659.9,10
"2025-07-23 10:38:46",302,1665.3,10
"2025-07-23 10:38:56",303,1670.7,10
"2025-07-23 10:39:06",304,1676.2,10
"2025-07-23 10:39:16",305,1681.6,10
"2025-07-23 10:39:27",306,1687.9,11
"2025-07-23 10:39:37",307,1693.2,10
"2025-07-23 10:39:48",308,1699,11
"2025-07-23 10:39:58",309,1704.6,10
"2025-07-23 10:40:09",310,1710.9,11
"2025-07-23 10:40:18",311,1715.7,9
